Designator,Footprint,Quantity,Value,LCSC Part #
BAT101,BatteryHolder_Keystone_1042_1x18650,1,KEYSTONE Battery Holder 1042,
"C102, C105, C106",0805,3,100nF,
"C103, C104, C107, C108",CP_Elec_6.3x5.8,4,100µF/16V,
D101,D_SOD-123,1,BAV16W,
D102,D_SMC_Handsoldering,1,SL42,
"D103, D104",LPB200XX,2,LB-P200W2C-H3,
IC101,SSOP-8_3.9x5.05mm_P1.27mm,1,PIC16LF15313,
J101,SKEDD-6,1,SKEDD6,
"L101, L102",L_12x12mm_H8mm,2,33µH,
"R101, R106",0805,2,10K,
"R102, R104",0805,2,1K,
R103,1206,1,1,
R105,0805,1,100K,
SW101,Meder MK15-C-2,1,MK15-C2,
T101,TO-220-3_Vertical,1,DMT6009LCT,
"TP101, TP102, TP103, TP104, TP105, TP106",TestPoint_Pad_D1.5mm,6,TestPoint,
