Designator,Mid X,Mid Y,Rotation,Layer
BAT101,94.742,-108.0,0.0,bottom
C102,81.2,-115.0,180.0,top
C103,108.0,-112.0,0.0,top
C104,138.8,-100.2,180.0,top
C105,75.5,-112.5,0.0,top
C106,119.0,-98.5,180.0,top
C107,66.5,-115.7,0.0,top
C108,138.8,-108.0,180.0,top
D101,75.5,-115.0,0.0,top
D102,105.5,-104.0,180.0,top
D103,148.96,-108.1,180.0,bottom
D104,148.9,-108.1,0.0,top
IC101,79.7,-106.9,0.0,top
J101,67.831,-108.37,0.0,top
L101,91.0,-108.0,0.0,top
L102,120.5,-107.6,0.0,top
R101,95.5,-98.0,180.0,top
R102,73.6,-101.0,180.0,top
R103,151.5,-98.0,0.0,top
R104,123.5,-98.5,180.0,top
R105,129.0,-116.4,180.0,top
R106,81.2,-112.8,180.0,top
SW101,81.5,-98.0,0.0,top
T101,140.54,-116.2,180.0,bottom
